gene,locus_tag,t0_average,t1_average,t2_average,t3_average,t4_average,t5_average,t6_average,t7_average,t8_average,t135_germ_average,t150_germ_average,t180_germ_average
S1,new_1_148,9.4,10.83,11.61,10.39,10.54,10.84,10.25,11.16,10.81,9.37,8.76,8.38
S2,new_24_297_c,9.38,9.77,9.24,11.88,11.81,11.85,10.47,11.37,11.32,10.15,9.78,9.61
S3,new_150_409,13.07,15,13.46,12.86,12.67,12.38,11.01,11.54,11,13.04,15.36,15.17
S4,new_299_1067_c,7.35,8.02,8.32,11.96,12.2,12.32,10.67,10.98,10.48,9.34,7.91,8.23
dnaA,BSU00010,12.54,14.05,12.69,11.81,11.57,11.25,10.25,10.35,9.82,12.15,14.33,14.04
S5,new_1751_1938,12.62,14.27,12.8,11.83,11.36,11.24,10.41,11.01,10.84,12.73,14.79,14.38
dnaN,BSU00020,12.74,13.87,12.2,11.48,11.17,10.98,9.99,10.18,9.81,12.2,14.44,14.08
yaaA,BSU00030,11.73,13.08,11.42,11.76,11.89,12.15,11.23,11.23,10.67,12.3,14.07,13.83
recF,BSU00040,13.03,13.43,12.59,12.53,12.33,12.54,11.95,11.86,11.35,12.75,14.27,14.06
yaaB,BSU00050,13.09,13.55,12.49,12.97,12.81,12.85,12.37,12.25,11.67,12.94,14.46,14.32
gyrB,BSU00060,13.16,13.13,12.23,12.87,12.69,12.41,12.34,11.94,11.27,12.82,14.25,13.99
S6,new_6784_6993,12.6,12.79,12.13,12.16,11.91,11.63,11.39,11.6,11.41,12.41,13.87,13.69
gyrA,BSU00070,13.39,13.32,12.53,13.37,13.19,12.83,12.41,12.23,11.42,12.98,14.49,14.26
S7,new_9529_9614,13.29,13.53,11.86,12.32,12.49,12.25,11.03,11.44,11.15,13.14,15.18,15.28
S8,new_14811_15868,8.26,9.05,7.79,8.05,7.81,8.19,8.37,9.95,9.91,10.55,11.14,11.71
yaaC,BSU00080,6.99,7.29,7.76,8.85,10.37,11.5,10.58,11.05,10.88,8.9,8,7.54
guaB,BSU00090,14.31,14.8,14.28,13.77,13.37,13.38,12.12,12.31,11.51,13.23,15.03,14.86
S9,new_17238_17833_c,8.48,8.26,8.26,8.52,9.36,9.92,9.56,10.42,10.22,9.1,8.23,7.92
S10,new_17453_17533,11.89,12.67,11.25,11.01,11.33,11.37,9.58,10.21,9.82,12.43,14.86,14.65
dacA,BSU00100,13.1,12.86,12.31,11.91,11.64,11.43,10.48,10.82,10.27,12.65,14.74,14.51
S11,new_18866_18974,12.8,12.79,12.42,11.83,11.78,12.49,11.82,11.55,11.13,11.4,12.74,12.16
S12,new_18976_19061,13.6,14.21,13.17,12.96,12.92,13.1,12.09,11.89,11.3,11.99,13.64,12.53
pdxS,BSU00110,14.1,14.51,13.43,13.32,12.89,12.93,12.08,12.05,11.51,12.31,13.94,13.35
S13,new_19194_19923_c,7.22,7.19,7.52,9.63,10.89,11.48,10.67,11.02,10.72,8.72,7.49,7.35
pdxT,BSU00120,14.59,14.82,13.66,13.79,13.44,13.58,12.69,12.51,11.84,12.7,14.04,13.66
NA,BSU_misc_RNA_1,14.09,14.14,13.48,13.66,13.92,13.85,15.04,14.71,14.6,13.77,14.44,13.98
serS,BSU00130,13.4,12.2,11.15,11.6,11.73,11.66,11.09,10.97,10.56,11.98,13.75,13.41
S14,new_22452_22529,8.26,9.05,7.64,7.84,8.01,7.86,8.77,9.95,9.81,9.74,10.73,10.96
dck,BSU00140,11.09,11.01,9.83,9.76,9.65,9.36,9.31,9.85,9.71,11.05,12.14,12.29
S15,new_22531_23167,7.98,8.29,7.52,9.66,10.4,11.04,9.91,10.13,9.78,9.57,9.9,10
dgk,BSU00150,11.35,11.41,10.15,10.18,10.05,9.83,9.42,9.81,9.5,11.3,12.88,13.06
yaaH,BSU00160,7.23,7.15,9.3,14.7,14.87,15.06,14.62,14.32,13.86,9.74,7.82,7.73
yaaI,BSU00170,8.14,7.49,7.7,7.73,8,8.33,8.62,9.49,9.49,8.43,8.1,7.99
S16,new_25655_25851,9.21,10.82,9.65,9.86,10.28,10.5,9.62,10.11,9.82,9.9,10.44,10.66
tadA,BSU00180,9.11,10.68,9.36,9.87,9.99,10.43,9.45,9.97,9.86,9.54,9.93,10.18
S17,new_26383_26532,14.96,15.45,15.23,15.16,15.74,15.68,16.29,16.37,16.36,16.07,15.77,15.61
scr,BSU_misc_RNA_2,14.94,15.51,15.16,15.27,15.76,15.75,16.27,16.38,16.37,16.09,15.85,15.6
S18,new_26636_26731,13.57,14.88,14.82,14.94,15.29,15.48,16.09,15.84,16.15,15.56,15.3,15.33
dnaX,BSU00190,11.45,11.98,11.45,12.84,12.87,12.64,11.68,11.36,10.82,11.94,13.47,13.32
yaaK,BSU00200,12.96,14.15,13.32,13.95,14.2,14.24,13.26,12.93,12.4,13.25,14.79,14.6
recR,BSU00210,11.67,12.88,11.74,13.08,13.53,13.64,12.64,12.22,11.69,12.66,14.04,13.87
yaaL,BSU00220,10.98,12.16,10.93,12.4,12.86,13.24,12.47,12.38,11.96,12.43,13.28,13.32
bofA,BSU00230,10.03,11.41,10.71,13.93,13.64,13.53,12.44,12.57,12.06,11.89,12.47,12.29
S19,new_30076_30278,14.38,13.71,12.09,14.59,14.27,14.01,12.88,13,12.58,14.41,16.28,16.31
S20,new_35104_35236,13.1,12.08,9.85,11.18,10.79,10.82,11.02,11.63,11.68,12.78,13.32,13.26
S21,new_35356_35458,12.31,12.03,10.1,10.57,10.35,10.32,10.19,11.29,11.46,12.06,12.77,13.11
csfB,BSU00240,12.21,11.86,11.37,13.7,13.62,15.22,15.13,14.93,14.76,13.14,12.61,12.71
xpaC,BSU00250,13.65,12.72,11.75,12.35,12.49,12.91,11.89,12.04,12.05,11.46,12.26,11.91
yaaN,BSU00260,12.62,12.35,11.56,12.16,12.34,12.79,11.96,11.91,11.87,11.54,12.4,11.85
S22,new_37639_37719,11.67,12.15,11.21,11.66,11.9,12.39,11.53,11.57,11.49,11.5,12.57,12.05
yaaO,BSU00270,10.47,11.3,10.22,10.76,10.95,11.52,10.73,10.65,10.51,11.38,12.74,12.33
tmk,BSU00280,10.9,11.35,10.19,10.6,10.78,11.41,10.71,10.66,10.53,11.64,13.08,12.52
yaaQ,BSU00290,12.25,13.03,12.89,12.33,12.14,12.74,12.41,12.61,12.42,12.5,13.55,13.11
yaaR,BSU00300,13.11,13.9,13.42,13.02,12.93,13.47,13.18,13.45,13.16,13.28,14.31,14.07
holB,BSU00310,12.56,13.28,12.76,11.94,11.84,12.03,11.31,11.27,11.04,12.32,13.88,13.62
yaaT,BSU00320,12.74,13.66,12.95,12.42,12.31,12.21,10.99,11.09,10.62,12.25,13.97,13.59
yabA,BSU00330,12.5,13.41,13.25,12.53,12.14,12.49,11.52,11.65,11.4,12.18,13.56,13.74
yabB,BSU00340,10.67,11.55,10.69,10.66,10.18,10.64,9.96,10,9.73,11.21,12.94,12.69
yazA,BSU00350,11.07,12.01,11.02,11.08,10.99,11.31,10.58,10.45,10.01,11.52,13.21,13.1
yabC,BSU00360,10.84,11.68,10.86,10.94,10.64,10.92,10.28,10.29,10,11.36,12.88,12.64
